article_id,author,comment_counter1,comment1,comment_counter2,comment2,weighted_score,token_sort_score
14531691,Coasting West,source1_14531691_0,"As I've said before, the next 2 years are going to be very, very expensive for the Canadian tax payer as the Conservatives ramp up the propaganda and the vote buying, and all of it using our money.I guess this is where the federal oils sands royalties are going, and not to health and education.",source2_14531691_8,"As I've said before, the next 2 years are going to be very, very expensive for the Canadian tax payer as the Conservatives ramp up the propaganda and the vote buying, and all of it using our money. I guess this is where the federal oils sands royalties are going, and not to health and education.",100,100
14531691,poor plutocrat,source1_14531691_0_0,"Conservatives should find a prompt, graceful, face-saving exit for Harper.  Ease him out before he irrepairably harms Canada and his party.  I encourage all capable and intelligent conservatives to act quickly, while there is still time to prepare for 2015. ",source2_14531691_8_0,"Conservatives should find a prompt, graceful, face-saving exit for Harper. Ease him out before he ir repair ably harms Canada and his party. I encourage all capable and intelligent conservatives to act quickly, while there is still time to prepare for 2015.",99,96
14531691,Pappa,source1_14531691_0_1,How about appointing him Ambassador to the United Nations.  ,source2_14531691_8_1,How about appointing him Ambassador to the United Nations.,100,100
14531691,Man of La Mancha,source1_14531691_1,How do the Conservative supporters feel about the government using tax dollars for partisan purposes?  Are they okay with that as long as it's the Conservative party doing this?  I prefer my tax dollars spent for the benefit of all Canadians - but perhaps that just me.,source2_14531691_3,How do the Conservative supporters feel about the government using tax dollars for partisan purposes? Are they okay with that as long as it's the Conservative party doing this? I prefer my tax dollars spent for the benefit of all Canadians - but perhaps that just me.,100,100
14531691,hunter2460,source1_14531691_1_0,most of them are fine with anything these scumbags do...as long as they don't get caught of course,source2_14531691_3_0,most of them are fine with anything these scumbags do...as long as they don't get caught of course,100,100
14531691,OgtheDim,source1_14531691_2,So the Globe finally realised the Tories use taxpayer's money to do suspect advertising 7 years after they started to do so?And only when said advertising went after some of their larger advertisors?Conflict much G&M?,source2_14531691_13,So the Globe finally realised the Tories use taxpayer's money to do suspect advertising 7 years after they started to do so?And only when said advertising went after some of their larger advertisors? Conflict much G&M?,100,100
14531691,P Muhammad,source1_14531691_2_0,The G&M is up to its ears in conflict of interest when it comes to a discussion on government advertising.,source2_14531691_13_0,The G&M is up to its ears in conflict of interest when it comes to a discussion on government advertising.,100,100
14531691,1 i,source1_14531691_2_1,"'The G&M is up to its ears in conflict of interest when it comes to a discussion on government advertising.'Well. yes, the Government of Canada does a lot of advertising. Who owns the Globe and Mail?There's a conflict here, all right. But the fact remains, the government is behaving like a mob boss on this particular issue. And it stinks.",source2_14531691_13_1,"""The G&M is up to its ears in conflict of interest when it comes to a discussion on government advertising.""Well. yes, the Government of Canada does a lot of advertising. Who owns the Globe and Mail? There's a conflict here, all right. But the fact remains, the government is behaving like a mob boss on this particular issue. And it stinks.",100,100
14531691,M_G,source1_14531691_3,"Yup, they aren't even trying to pretend anymore.  I'll be calling my Conservative MP in the morning to voice my displeasure.  I would encourage everyone to do the same.Oh wait, I remember now, they gave themselves another month off.....",source2_14531691_12,"Yup, they aren't even trying to pretend anymore. I'll be calling my Conservative MP in the morning to voice my displeasure. I would encourage everyone to do the same. Oh wait, I remember now, they gave themselves another month off.....",99,100
14531691,poor plutocrat,source1_14531691_4,Let's get this straight:  Harper is spending my money (taxes) to tell me he is going to save me money (phone bill).Moore is helping Canadian industry by attacking Canadian industry.Is it any wonder that the Harper Government has no achievements of note.  As a majority government it keeps on defeating itself with flawed logic and flawed policy.  Then it tries to convince us it is right.This boders on insanity...or utter foolishness.  Harper needs to step down.  Pronto.,source2_14531691_17,Let's get this straight: Harper is spending my money (taxes) to tell me he is going to save me money (phone bill).Moore is helping Canadian industry by attacking Canadian industry. Is it any wonder that the Harper Government has no achievements of note. As a majority government it keeps on defeating itself with flawed logic and flawed policy. Then it tries to convince us it is right. This bode rs on insanity...or utter foolishness. Harper needs to step down. Pronto.,99,99
